709641373,0.77075213,0.4356425,9.770839,-0.0026633726,-0.007990118,-0.005326745,18.9405,-23.515501,9.7295,,,,,0
709641380,0.18670394,0.54096264,9.579348,-0.0026633726,-0.007990118,-0.005326745,20.130001,-23.515501,10.3395,,,,,0
709641384,0.014361841,0.45479164,9.5889225,-0.0026633726,-0.013316862,-0.0026633726,,,,,,,,0
709641392,-0.16755481,0.14840569,9.809137,-0.015980236,-0.0026633726,0.0026633726,20.130001,-22.9055,10.3395,,,,,0
709641400,0.014361841,0.0718092,9.732541,-0.026633725,0.0,0.007990118,17.7815,-24.095001,10.3395,,,,,0
709641404,0.13883112,0.18670394,9.703817,-0.037287217,-0.0026633726,0.007990118,,,,,,12.0,,0
709641409,0.19627848,0.15798025,9.837861,-0.037287217,-0.015980236,0.005326745,,,,,,,,0
709641413,0.081383765,0.11968201,9.8953085,-0.026633725,-0.026633725,0.007990118,20.130001,-23.515501,9.1195,,,,,0
709641417,0.03351096,0.11968201,9.8953085,-0.01065349,-0.037287217,0.01065349,18.9405,-21.716,9.1195,,,,,0
709641424,0.05266008,0.2441513,9.837861,0.0,-0.04261396,0.013316862,,,,,,,,0
709641429,0.16755481,0.25372586,9.818711,0.01065349,-0.05060408,0.015980236,,,,,,,,0
709641432,0.2154276,0.26330042,9.732541,0.015980236,-0.055930823,0.015980236,19.52,-24.095001,9.1195,,,,,0
709641439,0.2154276,0.3111732,9.64637,0.018643608,-0.058594197,0.015980236,18.9405,-23.515501,7.8995,,,,,0
709641444,0.20585304,0.32074776,9.54105,0.015980236,-0.061257567,0.023970352,,,,,,,,0
709641451,0.16755481,0.15798025,9.464453,0.015980236,-0.061257567,0.023970352,18.9405,-25.315,9.7295,,,,,0
709641455,0.11968201,0.15798025,9.426155,0.01065349,-0.058594197,0.029297099,,,,,,,,0
709641463,0.12925656,0.2441513,9.3878565,0.015980236,-0.058594197,0.026633725,18.9405,-23.515501,9.7295,,,,,0
709641470,0.110107444,0.25372586,9.3878565,0.015980236,-0.058594197,0.026633725,20.130001,-22.9055,10.3395,,,,,0
709641475,0.14840569,0.2154276,9.3878565,0.029297099,-0.061257567,0.02130698,,,,,,,,0
709641483,0.12925656,0.23457673,9.378282,0.034623843,-0.061257567,0.018643608,18.361,-23.515501,10.3395,,,,,0
709641490,0.11968201,0.2441513,9.359133,0.034623843,-0.061257567,0.015980236,18.9405,-23.515501,10.3395,,,,,0
709641494,0.11968201,0.15798025,9.349558,0.031960472,-0.061257567,0.018643608,,,,,,,,0
709641498,0.081383765,0.12925656,9.339984,0.029297099,-0.061257567,0.02130698,19.52,-23.515501,10.9495,,,,,0
709641505,0.110107444,0.13883112,9.330409,0.023970352,-0.061257567,0.023970352,,,,,,,,0
709641510,0.110107444,0.13883112,9.330409,0.023970352,-0.058594197,0.023970352,18.361,-25.315,9.7295,,,,,0
709641514,0.12925656,0.14840569,9.359133,0.02130698,-0.058594197,0.023970352,,,,,,84.0,,0
709641518,0.11968201,0.16755481,9.31126,0.02130698,-0.055930823,0.023970352,19.52,-23.515501,12.1695,,,,,0
709641525,0.10053288,0.13883112,9.31126,0.02130698,-0.05326745,0.02130698,,,,,,,,0
709641529,0.14840569,0.18670394,9.349558,0.02130698,-0.05060408,0.02130698,,,,,,,,0
709641533,0.14840569,0.18670394,9.349558,,,,18.9405,-21.716,10.3395,,,,,0
709641536,0.14840569,0.22500217,9.349558,0.018643608,-0.05060408,0.02130698,,,,,,,,0
709641540,0.14840569,0.22500217,9.349558,0.015980236,-0.045277335,0.02130698,19.52,-24.095001,10.9495,,,,,0
