0,-0.03,0.26999998,0.0
50,-0.07,0.08,-0.12
100,0.04,0.12,-0.099999994
150,-0.07,0.049999997,-0.13
200,-0.12,0.0,0.0
250,-0.19,0.03,0.07
300,-0.13,0.14999999,0.04
350,-0.29999998,0.13,-0.049999997
400,-0.17999999,0.17,0.02
450,0.19,0.45999998,0.38
500,0.45999998,0.56,0.45999998
550,0.11,1.42,0.53999996
600,-1.9399999,0.64,0.53999996
650,-2.1699998,1.13,1.35
700,-1.77,0.77,1.6899999
750,-0.52,2.1,2.62
800,-0.88,4.49,3.23
850,-0.47,2.58,1.9799999
900,0.96999997,1.8299999,1.5999999
950,0.01,3.3,2.1
1000,-0.24,3.8899999,1.63
1050,-0.44,3.36,0.82
1100,-0.52,2.76,-0.14999999
1150,-1.78,1.86,-0.51
1200,-2.74,2.1599998,-0.17999999
1250,-2.04,0.55,0.099999994
1300,-1.41,-0.19999999,0.13
1350,0.47,0.049999997,0.049999997
1400,-0.78999996,-0.97999996,0.75
1450,-1.41,-0.28,-0.61
1500,-0.85999995,0.62,-0.62
1550,1.4499999,-0.47,-1.91
1600,1.18,0.07,-0.48999998
1650,-1.36,0.59,1.4499999
1700,-2.69,2.1599998,2.21
1750,-0.5,1.4599999,0.02
1800,-0.53999996,2.24,-0.39999998
1850,1.5,-1.3399999,-0.28
1900,-0.26999998,-0.04,0.31
1950,-2.4199998,-1.39,2.35
2000,-0.48,1.78,1.1
2050,0.14999999,1.5999999,-0.56
2100,0.97999996,2.09,-2.3799999
2150,0.26999998,1.31,-0.78999996
2200,-0.47,0.0,1.27
2250,0.9,-0.58,2.34
2300,-0.22,-4.41,0.9
2350,-0.56,2.61,0.35999998
2400,-0.71,-2.1299999,-1.89
2450,0.26,-5.9,0.65999997
2500,2.28,-3.82,0.35999998
2550,-0.26,-1.5,0.32
2600,-0.25,-4.37,0.47
2650,-0.78999996,-2.28,1.37
2700,-1.63,-1.3299999,0.0
2750,-0.96,-0.38,0.71999997
