0,10.879,-8.274,-1.264,13.7262308373,13.6679082891,10.9521841201,8.36999235364,1.264
50,9.347,-3.562,2.183,10.238151298,10.0027122822,9.59853624257,4.17771863581,-2.183
100,8.887,-4.826,0.689,10.1362599611,10.1128158789,8.9136687172,4.87493558932,-0.689
150,11.76,-3.792,1.953,12.5096392034,12.3562479742,11.9210657661,4.26538075674,-1.953
200,12.182,-4.405,1.992,13.1062280233,12.9539626756,12.3437914759,4.83446884363,-1.992
250,14.633,-2.298,1.455,14.8836325539,14.8123425899,14.7051594347,2.71989503474,-1.455
300,16.549,-7.929,0.804,18.3680390352,18.3504343818,16.5685188535,7.96965852468,-0.804
350,16.204,-9.768,1.379,18.9706373377,18.9204503118,16.262572275,9.86486011051,-1.379
400,13.676,-10.458,2.145,17.3494600781,17.216350949,13.8431933093,10.675710234,-2.145
450,10.151,-7.853,1.647,12.9392820125,12.834033271,10.2837449404,8.02385306446,-1.647
500,8.964,-6.205,0.114,10.9026747636,10.9020787467,8.96472487029,6.20604713163,-0.114
550,9.079,-8.083,-0.919,12.1904754214,12.1557858652,9.1253932518,8.1350752916,0.919
600,7.24,-10.036,-2.221,12.5726583108,12.3749301412,7.57300739469,10.2788198253,2.221
650,4.597,-9.5,-3.256,11.0446342176,10.5537864769,5.63328900377,10.0424865447,3.256
700,0.881,-8.198,-3.447,8.93673172922,8.24520254451,3.55780409804,8.89320038007,3.447
750,2.719,-9.73,-4.099,10.902644725,10.1027650176,4.91881713423,10.5581580306,4.099
800,6.704,-13.178,-3.486,15.1906384329,14.7852392608,7.55617707574,13.6312831384,3.486
850,9.692,-12.795,-1.072,16.0871399882,16.0513827753,9.75110496303,12.8398290098,1.072
900,10.419,-5.095,1.8,11.7368899628,11.5980423348,10.5733419977,5.40361221777,-1.8
950,9.96,-2.298,1.455,10.3246999472,10.2216634654,10.0657153248,2.71989503474,-1.455
1000,10.228,-5.976,0.689,11.8658872825,11.8458667897,10.2511806637,6.01558783495,-0.689
1050,11.913,-4.29,2.375,12.8827129907,12.6618983174,12.1474356965,4.9035420871,-2.375
1100,12.641,-4.673,0.651,13.4927984866,13.4770846254,12.6577518541,4.71812780666,-0.651
1150,15.055,-3.984,2.298,15.7418577366,15.5732232052,15.2293738873,4.59924559031,-2.298
